name,hq_port,fleet_size,notes
Gulf Star Line,Port of Houston,42,Illustrative operator — not a live registry record
Crescent City Marine,Port of New Orleans,28,Illustrative operator — not a live registry record
Corpus Bulk Carriers,Port of Corpus Christi,19,Illustrative operator — not a live registry record
Mobile Harbor Shipping,Port of Mobile,15,Illustrative operator — not a live registry record
Tampa Coastal Freight,Port of Tampa,22,Illustrative operator — not a live registry record
Sabine Channel Logistics,Port of Port Arthur,11,Illustrative operator — not a live registry record
Delta Shelf Tankers,Port of South Louisiana,33,Illustrative operator — not a live registry record
Fourchon Offshore Support,Port Fourchon,48,Illustrative operator — not a live registry record
Brownsville Trade Fleet,Port of Brownsville,9,Illustrative operator — not a live registry record
Galveston Ferry & Cargo,Port of Galveston,14,Illustrative operator — not a live registry record
Atlantic Box Alliance,Port of New York and New Jersey,86,Illustrative operator — not a live registry record
Rotterdam Energy Carriers,Port of Rotterdam,61,Illustrative operator — not a live registry record
Maas & Scheldt Bulk,Port of Antwerp,44,Illustrative operator — not a live registry record
Strait of Malacca Shipping,Port of Singapore,120,Illustrative operator — not a live registry record
East China Loop Line,Port of Shanghai,95,Illustrative operator — not a live registry record
Pacific Gate Container,Port of Los Angeles,70,Illustrative operator — not a live registry record
Suez Corridor Tankers,Port Said,38,Illustrative operator — not a live registry record
Cape Route Drybulk,Port of Durban,27,Illustrative operator — not a live registry record
Jebel Ali Feeders,Port of Jebel Ali,33,Illustrative operator — not a live registry record
Panama Transit Services,Port of Panama City (Balboa),41,Illustrative operator — not a live registry record
