name,lat,lon,state,type
Port Isabel Lighthouse,26.0773,-97.2074,TX,lighthouse
Aransas Pass Lighthouse,27.8622,-97.0725,TX,lighthouse
Matagorda Island Lighthouse,28.3378,-96.4242,TX,lighthouse
Bolivar Point Lighthouse,29.3670,-94.7670,TX,lighthouse
Galveston Jetty Light,29.3280,-94.6920,TX,lighthouse
Sabine Pass Lighthouse,29.7160,-93.8500,LA,lighthouse
Southwest Pass Light,28.9160,-89.4280,LA,lighthouse
South Pass Light,28.9900,-89.1400,LA,lighthouse
New Canal Lighthouse,30.0270,-90.1130,LA,lighthouse
Round Island Lighthouse,30.2920,-88.5870,MS,lighthouse
Sand Island Lighthouse,30.1880,-88.0530,AL,lighthouse
Mobile Point Light,30.2280,-88.0240,AL,lighthouse
Pensacola Lighthouse,30.3460,-87.3100,FL,lighthouse
Cape St. George Lighthouse,29.6030,-85.0470,FL,lighthouse
Egmont Key Lighthouse,27.6010,-82.7610,FL,lighthouse
Cape Hatteras Lighthouse,35.2503,-75.5289,NC,lighthouse
Sandy Hook Lighthouse,40.4615,-74.0021,NJ,lighthouse
Eddystone Lighthouse,50.1800,-4.2680,England,lighthouse
Fastnet Rock Lighthouse,51.3890,-9.6030,Ireland,lighthouse
Tarifa Lighthouse,36.0000,-5.6100,Spain,lighthouse
Alexandria Old Light,31.2140,29.8850,Egypt,lighthouse
Ras Gharib Light,28.3590,33.0770,Egypt,lighthouse
Horsburgh Lighthouse,1.3300,104.4050,Singapore,lighthouse
Cape Agulhas Lighthouse,-34.8300,20.0090,South Africa,lighthouse
Point Vicente Light,33.7420,-118.4100,CA,lighthouse
